topology,vnf1cpu,vnf2cpu,vnf3cpu,throughput
nx-sc-sq,0.32,0.16,1,71746.12
nx-sc-sq,1,0.32,1,162801.25
nx-sc-sq,0.32,0.16,0.32,72751.22
nx-sc-sq,0.16,1,0.32,111102.71
nx-sc-sq,0.16,1,1,130302.58
nx-sc-sq,0.64,1,1,438165.17
nx-sc-sq,0.16,0.64,0.64,133204.71
nx-sc-sq,0.32,0.64,0.16,180025.61
nx-sc-sq,0.32,0.64,0.16,179164.94
nx-sc-sq,0.64,1,0.32,334075.37
nx-sc-sq,0.32,0.64,1,281712.32
nx-sc-sq,0.64,0.64,0.32,344471.97
nx-sc-sq,1,1,0.64,453906.98
nx-sc-sq,0.64,0.32,0.64,163080.38
nx-sc-sq,0.64,1,1,352984.31
nx-sc-sq,0.64,0.32,0.16,160902.01
nx-sc-sq,0.16,0.32,0.64,132548.84
nx-sc-sq,0.32,1,0.16,180280.65
nx-sc-sq,0.64,1,0.16,183672.11
nx-sc-sq,1,1,0.16,181392.64
nx-sc-sq,1,0.32,1,154470.27
nx-sc-sq,0.16,1,0.64,119015.38
nx-sc-sq,0.32,0.16,0.16,71068.21
nx-sc-sq,0.16,1,0.16,126009.18
nx-sc-sq,0.16,0.64,0.16,128530
nx-sc-sq,1,0.32,0.64,159875.19
nx-sc-sq,0.32,0.16,0.64,69702.09
nx-sc-sq,1,1,0.32,426977.01
nx-sc-sq,0.64,0.64,0.32,343679.36
nx-sc-sq,0.64,0.32,0.64,163368.07
nx-sc-sq,0.16,0.32,0.16,131125.17
nx-sc-sq,0.32,1,0.16,179763.61
nx-sc-sq,1,0.16,0.32,72554.44
nx-sc-sq,0.32,0.64,1,285202.56
nx-sc-sq,1,0.16,1,70878.58
nx-sc-sq,0.32,0.32,0.64,157070.96
nx-sc-sq,1,0.16,0.64,71943.88
nx-sc-sq,0.64,0.64,1,341053.88
nx-sc-sq,0.32,0.32,0.64,159421.8
nx-sc-sq,0.64,0.16,0.64,72642.23
nx-sc-sq,0.32,0.32,0.16,162839.27
nx-sc-sq,0.64,0.64,0.32,346507.76
nx-sc-sq,0.32,0.64,0.32,231647.78
nx-sc-sq,0.16,0.32,0.64,137552.77
nx-sc-sq,0.64,0.16,0.16,72444.27
nx-sc-sq,0.64,1,0.16,182513.11
nx-sc-sq,0.32,0.64,1,291349.74
nx-sc-sq,1,0.16,1,71485.33
nx-sc-sq,0.32,0.32,0.32,155809.01
nx-sc-sq,0.64,0.64,0.64,338119.14
nx-sc-sq,0.32,0.32,0.32,156289.18
nx-sc-sq,0.32,0.32,0.64,155505.4
nx-sc-sq,0.32,0.32,1,160386.16
nx-sc-sq,0.32,0.16,0.32,71543.94
nx-sc-sq,0.32,0.32,0.64,158659.81
nx-sc-sq,0.64,0.32,0.64,161141.58
nx-sc-sq,0.64,1,0.16,180504.55
nx-sc-sq,1,0.32,1,163843.54
nx-sc-sq,0.32,0.16,0.32,72345.64
nx-sc-sq,0.64,0.64,0.64,344728.33
nx-sc-sq,1,1,1,450517.17
nx-sc-sq,0.16,0.16,0.64,71388.39
nx-sc-sq,0.64,0.16,0.64,70863.71
nx-sc-sq,0.16,1,1,135350.38
nx-sc-sq,0.64,0.32,1,157504.05
nx-sc-sq,1,0.16,0.64,72940.54
nx-sc-sq,0.16,1,0.64,140251.71
nx-sc-sq,0.16,0.32,0.64,136435.21
nx-sc-sq,0.16,1,0.32,135139.93
nx-sc-sq,0.64,0.64,0.16,191354.31
nx-sc-sq,0.64,1,1,392634.2
nx-sc-sq,0.32,1,0.64,234871.83
nx-sc-sq,0.16,0.64,0.32,119609.06
nx-sc-sq,0.32,0.64,0.64,277308.25
nx-sc-sq,0.64,0.16,0.64,75249.75
nx-sc-sq,0.16,0.64,0.32,130528.96
nx-sc-sq,1,0.32,0.32,160100.13
nx-sc-sq,1,0.16,1,73340.78
nx-sc-sq,1,0.16,1,72236.04
nx-sc-sq,0.64,1,0.64,426195.28
nx-sc-sq,0.64,0.64,0.64,348833.6
nx-sc-sq,0.64,0.64,1,334659.28
nx-sc-sq,0.16,0.16,1,71649.05
nx-sc-sq,0.64,0.64,0.64,339391.94
nx-sc-sq,1,1,0.32,419710.92
nx-sc-sq,0.16,0.16,0.64,71848.57
